region;total_population_2002;male_population;female_population;male_percent;female_percent
Регион;Популяция_2002;Мужчины;Женщины;Мужчины_процент;Женщины_процент
      с. Беляевка (рц);5138;2394;2744;46,6;53,4
      прочие сельские населенные пункты;14970;7393;7577;49,4;50,6
  Бугурусланский район - сельское население;23523;11129;12394;47,3;52,7
  Бузулукский район - сельское население;33113;15461;17652;46,7;53,3
      п. Колтубановский;3852;1778;2074;46,2;53,8
      п. Красногвардеец;3857;1816;2041;47,1;52,9
      прочие сельские населенные пункты;25404;11867;13537;46,7;53,3
  Гайский район - сельское население;12188;5775;6413;47,4;52,6
  Грачёвский район - сельское население;16198;7613;8585;47;53
      с. Грачёвка (рц);6521;3076;3445;47,2;52,8
      прочие сельские населенные пункты;9677;4537;5140;46,9;53,1
  Домбаровский район - сельское население;19188;9209;9979;48;52
      п. Домбаровский (рц);9609;4552;5057;47,4;52,6
      прочие сельские населенные пункты;9579;4657;4922;48,6;51,4
  Илекский район - сельское население;28793;13921;14872;48,3;51,7
      с. Илек (рц);9953;4621;5332;46,4;53,6
      с. Кардаилово;3053;1462;1591;47,9;52,1
      прочие сельские населенные пункты;15787;7838;7949;49,6;50,4
  Кваркенский район - сельское население;23525;11309;12216;48,1;51,9
      с. Кваркено (рц);4184;1986;2198;47,5;52,5
      п. Красноярский;3236;1498;1738;46,3;53,7
      прочие сельские населенные пункты;16105;7825;8280;48,6;51,4
  Красногвардейский район - сельское население;25451;12182;13269;47,9;52,1
      с. Плешаново (рц);3767;1768;1999;46,9;53,1
      прочие сельские населенные пункты;21684;10414;11270;48;52
  Кувандыкский район - сельское население;24431;11745;12686;48,1;51,9
  Курманаевский район - сельское население;21364;10099;11265;47,3;52,7
      с. Курманаевка (рц);4577;2178;2399;47,6;52,4
      прочие сельские населенные пункты;16787;7921;8866;47,2;52,8
  Матвеевский район - сельское население;15627;7358;8269;47,1;52,9
      с. Матвеевка (рц);3294;1514;1780;46;54
      прочие сельские населенные пункты;12333;5844;6489;47,4;52,6
  Новоорский район - сельское население;33085;15575;17510;47,1;52,9
      п. Новоорск (рц);11274;5211;6063;46,2;53,8
      п. Энергетик;9187;4287;4900;46,7;53,3
      прочие сельские населенные пункты;12624;6077;6547;48,1;51,9
  Новосергиевский район - сельское население;37837;17848;19989;47,2;52,8
      п. Новосергиевка (рц);13261;6123;7138;46,2;53,8
      прочие сельские населенные пункты;24576;11725;12851;47,7;52,3
  Октябрьский район - сельское население;22005;10565;11440;48;52
      с. Октябрьское (рц);7642;3663;3979;47,9;52,1
      прочие сельские населенные пункты;14363;6902;7461;48,1;51,9
  Оренбургский район - сельское население;65130;31325;33805;48,1;51,9
      с. Нежинка;5128;2470;2658;48,2;51,8
      с. Нижняя Павловка;3712;1820;1892;49;51
      п. Первомайский;7141;3412;3729;47,8;52,2
      с. Подгородняя Покровка;3140;1543;1597;49,1;50,9
      п. Пригородный;3240;1555;1685;48;52
      п. Чебеньки;3515;1653;1862;47;53
      прочие сельские населенные пункты;39254;18872;20382;48,1;51,9
  Первомайский район - сельское население;30161;14649;15512;48,6;51,4
      п. Первомайский (рц);6576;3151;3425;47,9;52,1
      прочие сельские населенные пункты;23585;11498;12087;48,8;51,2
  Переволоцкий район - сельское население;29088;13906;15182;47,8;52,2
      п. Переволоцкий (рц);9721;4543;5178;46,7;53,3
      прочие сельские населенные пункты;19367;9363;10004;48,3;51,7
  Пономарёвский район - сельское население;17790;8366;9424;47;53
      с. Пономарёвка (рц);5405;2519;2886;46,6;53,4
      прочие сельские населенные пункты;12385;5847;6538;47,2;52,8
  Сакмарский район - сельское население;28569;13535;15034;47,4;52,6
      с. Сакмара (рц);4620;2173;2447;47;53
      п. Красный Коммунар;4190;1986;2204;47,4;52,6
      с. Татарская Каргала;3497;1677;1820;48;52
      прочие сельские населенные пункты;16262;7699;8563;47,3;52,7
  Саракташский район - сельское население;42307;20123;22184;47,6;52,4
      п. Саракташ (рц);17510;8222;9288;47;53
      прочие сельские населенные пункты;24797;11901;12896;48;52
  Светлинский район - сельское население;18356;8737;9619;47,6;52,4
      п. Светлый (рц);9026;4200;4826;46,5;53,5
      прочие сельские населенные пункты;9330;4537;4793;48,6;51,4
  Северный район - сельское население;18511;8745;9766;47,2;52,8
      с. Северное (рц);4721;2238;2483;47,4;52,6
      прочие сельские населенные пункты;13790;6507;7283;47,2;52,8
  Соль-Илецкий район - сельское население;28425;13960;14465;49,1;50,9
  Сорочинский район - сельское население;16742;7956;8786;47,5;52,5
  Ташлинский район - сельское население;26886;12934;13952;48,1;51,9
      с. Ташла (рц);6688;3168;3520;47,4;52,6
      прочие сельские населенные пункты;20198;9766;10432;48,4;51,6
  Тоцкий район - сельское население;41332;23415;17917;56,7;43,3
      с. Тоцкое (рц);7201;3361;3840;46,7;53,3
      с. Тоцкое Второе;17521;12117;5404;69,2;30,8
      прочие сельские населенные пункты;16610;7937;8673;47,8;52,2
  Тюльганский район - сельское население;23627;11276;12351;47,7;52,3
      п. Тюльган (рц);10161;4750;5411;46,7;53,3
      прочие сельские населенные пункты;13466;6526;6940;48,5;51,5
  Шарлыкский район - сельское население;22128;10526;11602;47,6;52,4
      с. Шарлык (рц);8117;3820;4297;47,1;52,9
      прочие сельские населенные пункты;14011;6706;7305;47,9;52,1
  Ясненский район - сельское население;7440;3649;3791;49;51
Пензенская область;1452941;664372;788569;45,7;54,3
    Городское население;945214;428656;516558;45,4;54,6
    Сельское население;507727;235716;272011;46,4;53,6
  г. Пенза с подчиненными его администрации населенными пунктами ;518437;234521;283916;45,2;54,8
    Городское население - г. Пенза;518025;234341;283684;45,2;54,8
          городские районы ;;;;;
        Железнодорожный ;107188;49620;57568;46,3;53,7
        Ленинский ;98951;43001;55950;43,5;56,5
        Октябрьский;182674;82057;100617;44,9;55,1
        Первомайский ;129212;59663;69549;46,2;53,8
    Сельское население;412;180;232;43,7;56,3
  г. Заречный;62970;29180;33790;46,3;53,7
  г. Каменка с подчиненными его администрации населенными пунктами;41408;18918;22490;45,7;54,3
    Городское население - г. Каменка;40712;18608;22104;45,7;54,3
    Сельское население;696;310;386;44,5;55,5
  г. Кузнецк с подчиненными его администрации населенными пунктами;92196;41585;50611;45,1;54,9
    Городское население - г. Кузнецк;92050;41532;50518;45,1;54,9
    Сельское население;146;53;93;36,3;63,7
  г. Сердобск;37738;16963;20775;44,9;55,1
  Башмаковский район;25159;11605;13554;46,1;53,9
    Городское население - пгт Башмаково (рц);9783;4490;5293;45,9;54,1
    Сельское население;15376;7115;8261;46,3;53,7
  Беднодемьяновский район ;13827;6332;7495;45,8;54,2
    Городское население - г. Беднодемьяновск (рц);7628;3488;4140;45,7;54,3
    Сельское население;6199;2844;3355;45,9;54,1
  Бековский район ;18853;8687;10166;46,1;53,9
    Городское население - пгт Беково (рц);6891;3127;3764;45,4;54,6
    Сельское население;11962;5560;6402;46,5;53,5
  Белинский район ;33569;15559;18010;46,3;53,7
    Городское население - г. Белинский (рц);8837;3985;4852;45,1;54,9
    Сельское население;24732;11574;13158;46,8;53,2
      с. Поим;3180;1436;1744;45,2;54,8
      прочие сельские населенные пункты;21552;10138;11414;47;53
  Бессоновский район - сельское население;41647;19267;22380;46,3;53,7
      с. Бессоновка (рц);10012;4609;5403;46;54
      с. Грабово;7401;3185;4216;43;57
      с. Чемодановка;5069;2300;2769;45,4;54,6
      прочие сельские населенные пункты;19165;9173;9992;47,9;52,1
  Вадинский район - сельское население;11218;5135;6083;45,8;54,2
      с. Вадинск (рц);4771;2184;2587;45,8;54,2
      прочие сельские населенные пункты;6447;2951;3496;45,8;54,2
  Городищенский район;53125;24568;28557;46,2;53,8
    Городское население;23429;10589;12840;45,2;54,8
      г. Городище (рц);8281;3705;4576;44,7;55,3
      г. Сурск;7981;3592;4389;45;55
      пгт Чаадаевка;7167;3292;3875;45,9;54,1
    Сельское население;29696;13979;15717;47,1;52,9
      с. Средняя Елюзань;8390;4085;4305;48,7;51,3
      прочие сельские населенные пункты;21306;9894;11412;46,4;53,6
  Земетчинский район ;31072;14023;17049;45,1;54,9
    Городское население - пгт Земетчино (рц);12088;5521;6567;45,7;54,3
    Сельское население;18984;8502;10482;44,8;55,2
  Иссинский район ;12611;5741;6870;45,5;54,5
    Городское население - пгт Исса (рц);5606;2553;3053;45,5;54,5
    Сельское население;7005;3188;3817;45,5;54,5
  Каменский район - сельское население;24275;11316;12959;46,6;53,4
  Камешкирский район - сельское население;14404;6675;7729;46,3;53,7
      с. Русский Камешкир (рц);5376;2502;2874;46,5;53,5
      прочие сельские населенные пункты;9028;4173;4855;46,2;53,8
  Колышлейский район ;27751;12695;15056;45,7;54,3
    Городское население - пгт Колышлей (рц);8483;3857;4626;45,5;54,5
    Сельское население;19268;8838;10430;45,9;54,1
  Кондольский район - сельское население;10213;4738;5475;46,4;53,6
      с. Кондоль (рц);3660;1718;1942;46,9;53,1
      прочие сельские населенные пункты;6553;3020;3533;46,1;53,9
  Кузнецкий район ;41712;19690;22022;47,2;52,8
    Городское население;6427;2957;3470;46;54
      пгт Верхозим;1779;808;971;45,4;54,6
      пгт Евлашево;4648;2149;2499;46,2;53,8
    Сельское население;35285;16733;18552;47,4;52,6
      с. Махалино;5280;2741;2539;51,9;48,1
      с. Поселки;3110;1464;1646;47,1;52,9
      прочие сельские населенные пункты;26895;12528;14367;46,6;53,4
  Лопатинский район - сельское население;16190;7571;8619;46,8;53,2
      с. Лопатино (рц);4376;2047;2329;46,8;53,2
      прочие сельские населенные пункты;11814;5524;6290;46,8;53,2
  Лунинский район;23247;10477;12770;45,1;54,9
    Городское население - пгт Лунино (рц);8324;3706;4618;44,5;55,5
    Сельское население;14923;6771;8152;45,4;54,6
  Малосердобинский район - сельское население;11412;5363;6049;47;53
      с. Малая Сердоба (рц);4988;2340;2648;46,9;53,1
      прочие сельские населенные пункты;6424;3023;3401;47,1;52,9
  Мокшанский район ;30929;14309;16620;46,3;53,7
    Городское население - пгт Мокшан (рц);11808;5517;6291;46,7;53,3
    Сельское население;19121;8792;10329;46;54
  Наровчатский район - сельское население;13839;6449;7390;46,6;53,4
      с. Наровчат (рц);4398;2056;2342;46,7;53,3
      прочие сельские населенные пункты;9441;4393;5048;46,5;53,5
  Неверкинский район - сельское население;18538;8757;9781;47,2;52,8
      с. Неверкино (рц);5173;2398;2775;46,4;53,6
      прочие сельские населенные пункты;13365;6359;7006;47,6;52,4
  Нижнеломовский район ;46540;21089;25451;45,3;54,7
    Городское население - г. Нижний Ломов (рц);24249;10834;13415;44,7;55,3
    Сельское население;22291;10255;12036;46;54
      с. Верхний Ломов;4449;2031;2418;45,7;54,3
      прочие сельские населенные пункты;17842;8224;9618;46,1;53,9
  Никольский район ;39175;17633;21542;45;55
    Городское население;26366;11893;14473;45,1;54,9
      г. Никольск (рц);24061;10850;13211;45,1;54,9
      пгт Сура;2305;1043;1262;45,2;54,8
    Сельское население;12809;5740;7069;44,8;55,2
  Пачелмский район;18995;8714;10281;45,9;54,1
    Городское население - пгт Пачелма (рц);8735;3980;4755;45,6;54,4
    Сельское население;10260;4734;5526;46,1;53,9
  Пензенский район ;41318;19235;22083;46,6;53,4
    Городское население - пгт Золотаревка;2898;1266;1632;43,7;56,3
    Сельское население;38420;17969;20451;46,8;53,2
      с. Богословка;4698;2188;2510;46,6;53,4
      с. Засечное;4796;2223;2573;46,4;53,6
      с. Старая Каменка;3182;1479;1703;46,5;53,5
      прочие сельские населенные пункты;25744;12079;13665;46,9;53,1
  Сердобский район - сельское население;21917;10240;11677;46,7;53,3
      с. Пригородное;5525;2558;2967;46,3;53,7
      прочие сельские населенные пункты;16392;7682;8710;46,9;53,1
  Сосновоборский район ;20510;9582;10928;46,7;53,3
    Городское население - пгт Сосновоборск (рц);7397;3439;3958;46,5;53,5
    Сельское население;13113;6143;6970;46,8;53,2
      с. Индерка;4085;1934;2151;47,3;52,7
      прочие сельские населенные пункты;9028;4209;4819;46,6;53,4
  Тамалинский район ;19083;8952;10131;46,9;53,1
    Городское население - пгт Тамала (рц);8062;3742;4320;46,4;53,6
    Сельское население;11021;5210;5811;47,3;52,7
  Шемышейский район ;19063;8803;10260;46,2;53,8
    Городское население - пгт Шемышейка (рц);6708;3088;3620;46;54
    Сельское население;12355;5715;6640;46,3;53,7
Пермская область;2819421;1305658;1513763;46,3;53,7
    Городское население;2121647;967708;1153939;45,6;54,4
    Сельское население;697774;337950;359824;48,4;51,6
  г. Пермь с подчиненными его администрации населенными пунктами ;1010947;455734;555213;45,1;54,9
    Городское население;1010933;455725;555208;45,1;54,9
      г. Пермь;1001653;451477;550176;45,1;54,9
          городские районы;;;;;
        Дзержинский ;153403;67988;85415;44,3;55,7
        Индустриальный;160039;71153;88886;44,5;55,5
        Кировский ;126960;57446;69514;45,2;54,8
        Ленинский;57569;27000;30569;46,9;53,1
        Мотовилихинский ;176564;78671;97893;44,6;55,4
        Орджоникидзевский ;111631;53059;58572;47,5;52,5
        Свердловский ;215487;96160;119327;44,6;55,4
      пгт Новые Ляды;9280;4248;5032;45,8;54,2
    Сельское население;14;9;5;64,3;35,7
  г. Александровск с подчиненными его администрации населенными пунктами ;36508;17062;19446;46,7;53,3
    Городское население;31108;14411;16697;46,3;53,7
      г. Александровск;16231;7520;8711;46,3;53,7
      пгт Всеволодо-Вильва;3629;1713;1916;47,2;52,8
      пгт Луньевка;363;175;188;48,2;51,8
      пгт Яйва;10885;5003;5882;46;54
    Сельское население;5400;2651;2749;49,1;50,9
  г. Березники с подчиненными его администрации населенными пунктами ;175297;78915;96382;45;55
    Городское население - г. Березники ;173077;77876;95201;45;55
    Сельское население;2220;1039;1181;46,8;53,2
  г. Гремячинск с подчиненными его администрации населенными пунктами;18144;8259;9885;45,5;54,5
    Городское население;17941;8158;9783;45,5;54,5
      г. Гремячинск;13237;6028;7209;45,5;54,5
      пгт Усьва;758;338;420;44,6;55,4
      пгт Шумихинский;2248;1016;1232;45,2;54,8
      пгт Юбилейный;1698;776;922;45,7;54,3
    Сельское население;203;101;102;49,8;50,2
  г. Губаха с подчиненными его администрации населенными пунктами ;45955;22144;23811;48,2;51,8
    Городское население;44558;21471;23087;48,2;51,8
      г. Губаха;31687;14137;17550;44,6;55,4
      пгт Нагорнский;574;255;319;44,4;55,6
      пгт Углеуральский;10428;5863;4565;56,2;43,8
      пгт Широковский;1869;1216;653;65,1;34,9
    Сельское население;1397;673;724;48,2;51,8
  г. Добрянка с подчиненными его администрации населенными пунктами ;62580;28860;33720;46,1;53,9
    Городское население;49739;22962;26777;46,2;53,8
      г. Добрянка;36436;16881;19555;46,3;53,7
      пгт Полазна;13303;6081;7222;45,7;54,3
    Сельское население;12841;5898;6943;45,9;54,1
  г. Кизел с подчиненными его администрации населенными пунктами ;35099;15954;19145;45,5;54,5
    Городское население;35053;15934;19119;45,5;54,5
      г. Кизел;23841;10656;13185;44,7;55,3
      пгт Рудничный;897;453;444;50,5;49,5
      пгт Северный-Коспашский;2268;1049;1219;46,3;53,7
      пгт Центральный-Коспашский;2877;1427;1450;49,6;50,4
      пгт Шахта;2837;1306;1531;46;54
      пгт Южный-Коспашский;2333;1043;1290;44,7;55,3
    Сельское население;46;20;26;43,5;56,5
  г. Краснокамск с подчиненными его администрации населенными пунктами ;71390;32098;39292;45;55
    Городское население;58346;26011;32335;44,6;55,4
      г. Краснокамск;53724;23910;29814;44,5;55,5
      пгт Оверята;4622;2101;2521;45,5;54,5
    Сельское население;13044;6087;6957;46,7;53,3
      п. Майский;5357;2496;2861;46,6;53,4
      прочие сельские населенные пункты;7687;3591;4096;46,7;53,3
  г. Кунгур;68943;32526;36417;47,2;52,8
  г. Лысьва с подчиненными его администрации населенными пунктами ;85905;39045;46860;45,5;54,5
    Городское население - г. Лысьва;71148;31872;39276;44,8;55,2
    Сельское население;14757;7173;7584;48,6;51,4
  г. Соликамск;102531;47796;54735;46,6;53,4
  г. Чайковский с подчиненными его администрации населенными пунктами;109768;50951;58817;46,4;53,6
    Городское население - г. Чайковский;86714;39540;47174;45,6;54,4
    Сельское население;23054;11411;11643;49,5;50,5
      п. Марковский;4469;2412;2057;54;46
      с. Фоки;3889;1855;2034;47,7;52,3
      прочие сельские населенные пункты;14696;7144;7552;48,6;51,4
  г. Чусовой с подчиненными его администрации населенными пунктами ;77111;35408;41703;45,9;54,1
    Городское население;65437;29323;36114;44,8;55,2
      г. Чусовой;51615;23073;28542;44,7;55,3
      пгт Верхнечусовские Городки;2489;1107;1382;44,5;55,5
      пгт Калино;2536;1152;1384;45,4;54,6
      пгт Комарихинский;1548;693;855;44,8;55,2
      пгт Лямино;5127;2348;2779;45,8;54,2
      пгт Скальный;2122;950;1172;44,8;55,2
    Сельское население;11674;6085;5589;52,1;47,9
  пгт Звездный;9628;5545;4083;57,6;42,4
  Бардымский район - сельское население;27904;13135;14769;47,1;52,9
      с. Барда (рц);8490;4039;4451;47,6;52,4
      прочие сельские населенные пункты;19414;9096;10318;46,9;53,1
  Березовский район - сельское население;18516;8814;9702;47,6;52,4
      с. Березовка (рц);7062;3318;3744;47;53
      прочие сельские населенные пункты;11454;5496;5958;48;52
  Большесосновский район - сельское население;15295;7207;8088;47,1;52,9
      с. Большая Соснова (рц);4406;2043;2363;46,4;53,6
      прочие сельские населенные пункты;10889;5164;5725;47,4;52,6
  Верещагинский район;43958;20432;23526;46,5;53,5
    Городское население - г. Верещагино (рц);22832;10415;12417;45,6;54,4
    Сельское население;21126;10017;11109;47,4;52,6
      п. Зюкайка;4672;2171;2501;46,5;53,5
      прочие сельские населенные пункты;16454;7846;8608;47,7;52,3
  Горнозаводский район ;30172;14074;16098;46,6;53,4
    Городское население;28088;13003;15085;46,3;53,7
      г. Горнозаводск (рц);13061;5997;7064;45,9;54,1
      пгт Бисер;1032;474;558;45,9;54,1
      пгт Кусье-Александровский;1943;953;990;49;51
      пгт Медведка;816;256;560;31,4;68,6
      пгт Нововильвенский;421;203;218;48,2;51,8
      пгт Пашия;4245;1992;2253;46,9;53,1
      пгт Промысла;747;371;376;49,7;50,3
      пгт Сараны;1255;586;669;46,7;53,3
      пгт Старый Бисер;708;336;372;47,5;52,5
      пгт Теплая Гора;3860;1835;2025;47,5;52,5
    Сельское население;2084;1071;1013;51,4;48,6
  Еловский район - сельское население;13121;6278;6843;47,8;52,2
      с. Елово (рц);5712;2676;3036;46,8;53,2
      прочие сельские населенные пункты;7409;3602;3807;48,6;51,4
  Ильинский район ;21141;9920;11221;46,9;53,1
    Городское население;10879;5004;5875;46;54
      г. Чермоз;4376;2059;2317;47,1;52,9
      пгт Ильинский (рц);6503;2945;3558;45,3;54,7
    Сельское население;10262;4916;5346;47,9;52,1
  Карагайский район - сельское население;24792;11579;13213;46,7;53,3
      с. Карагай (рц);6754;3126;3628;46,3;53,7
      п. ст. Менделеево;3328;1545;1783;46,4;53,6
      прочие сельские населенные пункты;14710;6908;7802;47;53
  Кишертский район - сельское население;15093;7125;7968;47,2;52,8
      с. Усть-Кишерть (рц);4525;2139;2386;47,3;52,7
      прочие сельские населенные пункты;10568;4986;5582;47,2;52,8
  Красновишерский район ;27871;13226;14645;47,5;52,5
    Городское население - г. Красновишерск (рц);18260;8531;9729;46,7;53,3
    Сельское население;9611;4695;4916;48,9;51,1
  Куединский район - сельское население;31429;15050;16379;47,9;52,1
      п. Куеда (рц);9809;4613;5196;47;53
      прочие сельские населенные пункты;21620;10437;11183;48,3;51,7
  Кунгурский район - сельское население;46332;22043;24289;47,6;52,4
      п. Комсомольский;3363;1528;1835;45,4;54,6
      прочие сельские населенные пункты;42969;20515;22454;47,7;52,3
  Нытвенский район ;47779;22142;25637;46,3;53,7
    Городское население;33342;15187;18155;45,5;54,5
      г. Нытва (рц);20660;9333;11327;45,2;54,8
      пгт Новоильинский;3753;1723;2030;45,9;54,1
      пгт Уральский;8929;4131;4798;46,3;53,7
    Сельское население;14437;6955;7482;48,2;51,8
      п. ст. Чайковская;3084;1427;1657;46,3;53,7
      прочие сельские населенные пункты;11353;5528;5825;48,7;51,3
  Октябрьский район ;36463;17340;19123;47,6;52,4
    Городское население;15581;7251;8330;46,5;53,5
      пгт Октябрьский (рц);10039;4758;5281;47,4;52,6
      пгт Сарс;5542;2493;3049;45;55
    Сельское население;20882;10089;10793;48,3;51,7
  Ординский район - сельское население;17077;8017;9060;46,9;53,1
      с. Орда (рц);5404;2543;2861;47,1;52,9
      прочие сельские населенные пункты;11673;5474;6199;46,9;53,1
  Осинский район ;33666;15812;17854;47;53
    Городское население - г. Оса (рц);23452;10946;12506;46,7;53,3
    Сельское население;10214;4866;5348;47,6;52,4
  Оханский район ;17873;8410;9463;47,1;52,9
    Городское население - г. Оханск (рц);7994;3655;4339;45,7;54,3
    Сельское население;9879;4755;5124;48,1;51,9
  Очерский район ;25347;11912;13435;47;53
    Городское население;18971;8803;10168;46,4;53,6
      г. Очер (рц);15563;7236;8327;46,5;53,5
      пгт Павловский;3408;1567;1841;46;54
    Сельское население;6376;3109;3267;48,8;51,2
  Пермский район ;91676;43217;48459;47,1;52,9
    Городское население;15827;7390;8437;46,7;53,3
      пгт Сылва;7850;3630;4220;46,2;53,8
      пгт Юго-Камский;7977;3760;4217;47,1;52,9
    Сельское население;75849;35827;40022;47,2;52,8
      с. Бершеть;3578;1585;1993;44,3;55,7
      с. Гамово;4473;2545;1928;56,9;43,1
      д. Кондратово;5736;2680;3056;46,7;53,3
      п. Кукуштан;4994;2307;2687;46,2;53,8
      с. Култаево;4343;1961;2382;45,2;54,8
      с. Лобаново;3654;1663;1991;45,5;54,5
      с. Усть-Качка;4093;1756;2337;42,9;57,1
      п. ст. Ферма;3489;1606;1883;46;54
      прочие сельские населенные пункты;41489;19724;21765;47,5;52,5
  Сивинский район - сельское население;17445;8199;9246;47;53
      с. Сива (рц);4865;2221;2644;45,7;54,3
      прочие сельские населенные пункты;12580;5978;6602;47,5;52,5
  Соликамский район - сельское население;18333;10082;8251;55;45
  Суксунский район ;21925;10347;11578;47,2;52,8
    Городское население - пгт Суксун (рц);8495;3965;4530;46,7;53,3
    Сельское население;13430;6382;7048;47,5;52,5
  Уинский район - сельское население;13360;6352;7008;47,5;52,5
      с. Уинское (рц);4450;2086;2364;46,9;53,1
      прочие сельские населенные пункты;8910;4266;4644;47,9;52,1
  Усольский район ;13398;6134;7264;45,8;54,2
    Городское население;8061;3561;4500;44,2;55,8
      г. Усолье (рц);6144;2647;3497;43,1;56,9
      пгт Орел;1917;914;1003;47,7;52,3
    Сельское население;5337;2573;2764;48,2;51,8
  Частинский район - сельское население;14675;7053;7622;48,1;51,9
      с. Частые (рц);5032;2393;2639;47,6;52,4
      прочие сельские населенные пункты;9643;4660;4983;48,3;51,7
  Чердынский район;35152;20879;14273;59,4;40,6
    Городское население;13256;7947;5309;60;40
      г. Чердынь (рц);5756;2716;3040;47,2;52,8
      пгт Ныроб;7500;5231;2269;69,7;30,3
    Сельское население;21896;12932;8964;59,1;40,9
      п. Керчевский;3066;1440;1626;47;53
      прочие сельские населенные пункты;18830;11492;7338;61;39
  Чернушинский район;53746;25508;28238;47,5;52,5
    Городское население - г. Чернушка (рц);35713;16775;18938;47;53
    Сельское население;18033;8733;9300;48,4;51,6
Коми-Пермяцкий автономный округ;136076;65074;71002;47,8;52,2
    Городское население;35740;16125;19615;45,1;54,9
    Сельское население;100336;48949;51387;48,8;51,2
  г. Кудымкар;31914;14369;17545;45;55
  Гайнский район - сельское население;17351;8511;8840;49,1;50,9
      п. Гайны (рц);4507;2139;2368;47,5;52,5
      прочие сельские населенные пункты;12844;6372;6472;49,6;50,4
  Косинский район - сельское население;8541;4169;4372;48,8;51,2
      с. Коса (рц);2288;1094;1194;47,8;52,2
      прочие сельские населенные пункты;6253;3075;3178;49,2;50,8
  Кочевский район - сельское население;12856;6468;6388;50,3;49,7
      с. Кочево (рц);3394;1642;1752;48,4;51,6
      прочие сельские населенные пункты;9462;4826;4636;51;49
  Кудымкарский район - сельское население;29528;14185;15343;48;52
  Юрлинский район - сельское население;12162;5998;6164;49,3;50,7
      с. Юрла (рц);4223;1998;2225;47,3;52,7
      прочие сельские населенные пункты;7939;4000;3939;50,4;49,6
  Юсьвинский район ;23724;11374;12350;47,9;52,1
    Городское население - пгт Пожва;3826;1756;2070;45,9;54,1
    Сельское население;19898;9618;10280;48,3;51,7
      с. Юсьва (рц);4741;2326;2415;49,1;50,9
      п. Майкор;3368;1559;1809;46,3;53,7
      прочие сельские населенные пункты;11789;5733;6056;48,6;51,4
Самарская область;3239737;1496461;1743276;46,2;53,8
    Городское население;2611680;1199236;1412444;45,9;54,1
    Сельское население;628057;297225;330832;47,3;52,7
  г. Самара с подчиненными его администрации населенными пунктами ;1176428;531451;644977;45,2;54,8
    Городское население;1175352;530824;644528;45,2;54,8
      г. Самара;1157880;522776;635104;45,1;54,9
          городские районы ;;;;;
        Железнодорожный ;107035;46595;60440;43,5;56,5
        Кировский;235846;105687;130159;44,8;55,2
        Красноглинский ;68746;32487;36259;47,3;52,7
        Куйбышевский ;80727;40134;40593;49,7;50,3
        Ленинский ;64975;28773;36202;44,3;55,7
        Октябрьский ;115982;51448;64534;44,4;55,6
        Промышленный ;271554;122076;149478;45;55
        Самарский ;31120;13916;17204;44,7;55,3
        Советский ;181895;81660;100235;44,9;55,1
      пгт Береза;5892;2672;3220;45,3;54,7
      пгт Прибрежный;11580;5376;6204;46,4;53,6
    Сельское население;1076;627;449;58,3;41,7
  г. Жигулевск с подчиненными его администрации населенными пунктами ;60450;27680;32770;45,8;54,2
    Городское население;59788;27368;32420;45,8;54,2
      г. Жигулевск;48770;22324;26446;45,8;54,2
      пгт Богатырь;1107;505;602;45,6;54,4
      пгт Зольное;1811;825;986;45,6;54,4
      пгт Солнечная Поляна;1637;781;856;47,7;52,3
      пгт Яблоневый Овраг;6463;2933;3530;45,4;54,6
    Сельское население;662;312;350;47,1;52,9
  г. Кинель с подчиненными его администрации населенными пунктами - городское население ;53083;24978;28105;47,1;52,9
      г. Кинель;34385;15898;18487;46,2;53,8
      пгт Алексеевка;9703;4584;5119;47,2;52,8
      пгт Усть-Кинельский;8995;4496;4499;50;50
  г. Новокуйбышевск с подчиненными его администрации населенными пунктами ;115171;52160;63011;45,3;54,7
    Городское население - г. Новокуйбышевск;112973;51162;61811;45,3;54,7
    Сельское население;2198;998;1200;45,4;54,6
  г. Октябрьск с подчиненными его администрации населенными пунктами ;29016;13042;15974;44,9;55,1
    Городское население;28817;12952;15865;44,9;55,1
      г. Октябрьск;25336;11443;13893;45,2;54,8
      пгт Междуреченск;3481;1509;1972;43,3;56,7
    Сельское население;199;90;109;45,2;54,8
  г. Отрадный;50048;22723;27325;45,4;54,6
  г. Похвистнево с подчиненными его администрации населенными пунктами ;28982;13037;15945;45;55
    Городское население - г. Похвистнево;27973;12570;15403;44,9;55,1
    Сельское население;1009;467;542;46,3;53,7
  г. Сызрань;188107;86042;102065;45,7;54,3
  г. Тольятти с подчиненными его администрации населенными пунктами ;715202;335917;379285;47;53
    Городское население;714944;335785;379159;47;53
      г. Тольятти;702879;330163;372716;47;53
          городские районы ;;;;;
        Автозаводский ;429262;204164;225098;47,6;52,4
        Комсомольский ;113295;53406;59889;47,1;52,9
        Центральный ;160322;72593;87729;45,3;54,7
      пгт Поволжский;9022;4189;4833;46,4;53,6
      пгт Федоровка;3043;1433;1610;47,1;52,9
    Сельское население;258;132;126;51,2;48,8
  г. Чапаевск;73912;32903;41009;44,5;55,5
  Алексеевский район - сельское население;13114;6128;6986;46,7;53,3
      с. Алексеевка (рц);4626;2130;2496;46;54
      прочие сельские населенные пункты;8488;3998;4490;47,1;52,9
  Безенчукский район ;43571;20236;23335;46,4;53,6
    Городское население;27048;12445;14603;46;54
      пгт Безенчук (рц);23921;10988;12933;45,9;54,1
