region;total_population_2002;male_population;female_population;male_percent;female_percent
Регион;Популяция_2002;Мужчины;Женщины;Мужчины_процент;Женщины_процент
  г. Суздаль;11357;5112;6245;45;55
  г. Радужный;17506;8396;9110;48;52
  Александровский район ;55207;24565;30642;44,5;55,5
    Городское население;41212;18116;23096;44;56
      г. Карабаново;16015;6981;9034;43,6;56,4
      г. Струнино;16056;6974;9082;43,4;56,6
      пгт Балакирево;9141;4161;4980;45,5;54,5
    Сельское население;13995;6449;7546;46,1;53,9
  Вязниковский район;50692;22673;28019;44,7;55,3
    Городское население;25313;11241;14072;44,4;55,6
      пгт Лукново;2675;1198;1477;44,8;55,2
      пгт Мстера;5598;2518;3080;45;55
      пгт Никологоры;6390;2836;3554;44,4;55,6
      пгт Нововязники;5742;2509;3233;43,7;56,3
      пгт Октябрьский;2100;937;1163;44,6;55,4
      пгт Степанцево;2808;1243;1565;44,3;55,7
    Сельское население;25379;11432;13947;45;55
  Гороховецкий район ;25832;11537;14295;44,7;55,3
    Городское население - г. Гороховец (рц);14524;6508;8016;44,8;55,2
    Сельское население;11308;5029;6279;44,5;55,5
  Гусь-Хрустальный район ;50813;23152;27661;45,6;54,4
    Городское население;28784;13060;15724;45,4;54,6
      г. Курлово;7433;3364;4069;45,3;54,7
      пгт Анопино;2018;899;1119;44,5;55,5
      пгт Великодворский;2270;1036;1234;45,6;54,4
      пгт Добрятино;1979;906;1073;45,8;54,2
      пгт Золотково;3741;1720;2021;46;54
      пгт Иванищи;2199;1022;1177;46,5;53,5
      пгт Красное Эхо;2295;1035;1260;45,1;54,9
      пгт Мезиновский;2166;940;1226;43,4;56,6
      пгт Уршельский;4683;2138;2545;45,7;54,3
    Сельское население;22029;10092;11937;45,8;54,2
  Камешковский район ;37961;16726;21235;44,1;55,9
    Городское население;18657;8135;10522;43,6;56,4
      г. Камешково (рц);14161;6217;7944;43,9;56,1
      пгт Оргтруд;4496;1918;2578;42,7;57,3
    Сельское население;19304;8591;10713;44,5;55,5
  Киржачский район ;45188;20651;24537;45,7;54,3
    Городское население;32937;15006;17931;45,6;54,4
      г. Киржач (рц);22704;10446;12258;46;54
      пгт Красный Октябрь;10233;4560;5673;44,6;55,4
    Сельское население;12251;5645;6606;46,1;53,9
  Ковровский район ;31148;15762;15386;50,6;49,4
    Городское население;9177;4924;4253;53,7;46,3
      пгт Красный Маяк;876;377;499;43;57
      пгт Красный Октябрь;1217;546;671;44,9;55,1
      пгт Мелехово;7084;4001;3083;56,5;43,5
    Сельское население;21971;10838;11133;49,3;50,7
  Кольчугинский район ;11405;5225;6180;45,8;54,2
    Городское население - пгт Бавлены;3284;1490;1794;45,4;54,6
    Сельское население;8121;3735;4386;46;54
  Меленковский район ;41125;18483;22642;44,9;55,1
    Городское население - г. Меленки (рц);16344;7338;9006;44,9;55,1
    Сельское население;24781;11145;13636;45;55
  Муромский район - сельское население;26382;11816;14566;44,8;55,2
  Петушинский район;69364;31358;38006;45,2;54,8
    Городское население;54247;24421;29826;45;55
      г. Петушки (рц);16482;7310;9172;44,4;55,6
      г. Костерево;9608;4300;5308;44,8;55,2
      г. Покров;15920;7375;8545;46,3;53,7
      пгт Вольгинский;6295;2855;3440;45,4;54,6
      пгт Городищи;5942;2581;3361;43,4;56,6
    Сельское население;15117;6937;8180;45,9;54,1
  Селивановский район ;21330;9524;11806;44,7;55,3
    Городское население - пгт Красная Горбатка (рц);9441;4260;5181;45,1;54,9
    Сельское население;11889;5264;6625;44,3;55,7
  Собинский район ;24864;11418;13446;45,9;54,1
    Городское население - пгт Ставрово;8005;3608;4397;45,1;54,9
    Сельское население;16859;7810;9049;46,3;53,7
  Судогодский район;44429;19891;24538;44,8;55,2
    Городское население;21856;9946;11910;45,5;54,5
      г. Судогда (рц);13328;6084;7244;45,6;54,4
      пгт Андреево;5326;2416;2910;45,4;54,6
      пгт им. Воровского;2159;971;1188;45;55
      пгт Красный Богатырь;1043;475;568;45,5;54,5
    Сельское население;22573;9945;12628;44,1;55,9
      п. Головино;3060;859;2201;28,1;71,9
      п. Муромцево;3337;1598;1739;47,9;52,1
      прочие сельские населенные пункты;16176;7488;8688;46,3;53,7
  Суздальский район ;39736;18228;21508;45,9;54,1
    Городское население - пгт Боголюбово;4218;1862;2356;44,1;55,9
    Сельское население;35518;16366;19152;46,1;53,9
      п. Коммунар;3208;1455;1753;45,4;54,6
      прочие сельские населенные пункты;32310;14911;17399;46,1;53,9
  Юрьев-Польский район ;39023;17386;21637;44,6;55,4
    Городское население - г. Юрьев-Польский (рц) ;19906;8571;11335;43,1;56,9
    Сельское население;19117;8815;10302;46,1;53,9
Воронежская область;2378803;1088543;1290260;45,8;54,2
    Городское население;1471799;670318;801481;45,5;54,5
    Сельское население;907004;418225;488779;46,1;53,9
  г. Воронеж с подчиненными его администрации населенными пунктами ;928410;419137;509273;45,1;54,9
    Городское население;892008;402304;489704;45,1;54,9
      г. Воронеж;848752;382334;466418;45;55
          городские районы ;;;;;
        Железнодорожный ;96846;44226;52620;45,7;54,3
        Коминтерновский;241417;108679;132738;45;55
        Левобережный ;173121;77966;95155;45;55
        Ленинский ;110765;50711;60054;45,8;54,2
        Советский ;148253;65812;82441;44,4;55,6
        Центральный ;78350;34940;43410;44,6;55,4
      пгт Краснолесный;5379;2380;2999;44,2;55,8
      пгт Придонской;17133;7904;9229;46,1;53,9
      пгт Сомово;13922;6326;7596;45,4;54,6
      пгт Шилово;6822;3360;3462;49,3;50,7
    Сельское население;36402;16833;19569;46,2;53,8
      с. Масловка;7623;3517;4106;46,1;53,9
      с. Никольское;5383;2523;2860;46,9;53,1
      п. 1-е Мая;4575;2167;2408;47,4;52,6
      с. Подгорное;7789;3567;4222;45,8;54,2
      с. Подклетное;3113;1438;1675;46,2;53,8
      прочие сельские населенные пункты;7919;3621;4298;45,7;54,3
  г. Борисоглебск;69392;31568;37824;45,5;54,5
  г. Лиски с подчиненными его администрации населенными пунктами ;56229;25603;30626;45,5;54,5
    Городское население - г. Лиски;55893;25452;30441;45,5;54,5
    Сельское население;336;151;185;44,9;55,1
  г. Нововоронеж;36961;17335;19626;46,9;53,1
  г. Острогожск с подчиненными его администрации населенными пунктами ;35746;17272;18474;48,3;51,7
    Городское население - г. Острогожск;34585;16723;17862;48,4;51,6
    Сельское население;1161;549;612;47,3;52,7
  г. Поворино;18342;8232;10110;44,9;55,1
  г. Россошь;62923;29149;33774;46,3;53,7
  Аннинский район ;52747;24183;28564;45,8;54,2
    Городское население - пгт Анна (рц);19416;8937;10479;46;54
    Сельское население;33331;15246;18085;45,7;54,3
      с. Садовое;5081;2282;2799;44,9;55,1
      прочие сельские населенные пункты;28250;12964;15286;45,9;54,1
  Бобровский район ;54162;24396;29766;45;55
    Городское население - г. Бобров (рц);20806;9535;11271;45,8;54,2
    Сельское население;33356;14861;18495;44,6;55,4
      с. Слобода;3568;1644;1924;46,1;53,9
      с. Хреновое;5553;2454;3099;44,2;55,8
      прочие сельские населенные пункты;24235;10763;13472;44,4;55,6
  Богучарский район ;40719;19441;21278;47,7;52,3
    Городское население - г. Богучар (рц);13756;6703;7053;48,7;51,3
    Сельское население;26963;12738;14225;47,2;52,8
  Борисоглебский район - сельское население;13880;6463;7417;46,6;53,4
  Бутурлиновский район ;57204;26045;31159;45,5;54,5
    Городское население;33083;15160;17923;45,8;54,2
      г. Бутурлиновка (рц);28627;13124;15503;45,8;54,2
      пгт Нижний Кисляй;4456;2036;2420;45,7;54,3
    Сельское население;24121;10885;13236;45,1;54,9
      с. Козловка;3390;1491;1899;44;56
      прочие сельские населенные пункты;20731;9394;11337;45,3;54,7
  Верхнемамонский район - сельское население;23086;10665;12421;46,2;53,8
      с. Верхний Мамон (рц);8394;3919;4475;46,7;53,3
      с. Нижний Мамон;3969;1811;2158;45,6;54,4
      прочие сельские населенные пункты;10723;4935;5788;46;54
  Верхнехавский район - сельское население;26656;12264;14392;46;54
      с. Верхняя Хава (рц);7980;3677;4303;46,1;53,9
      с. Углянец;3698;1690;2008;45,7;54,3
      прочие сельские населенные пункты;14978;6897;8081;46;54
  Воробьевский район - сельское население;21759;10172;11587;46,7;53,3
      с. Воробьевка (рц);4482;2046;2436;45,6;54,4
      прочие сельские населенные пункты;17277;8126;9151;47;53
  Грибановский район ;39648;18230;21418;46;54
    Городское население - пгт Грибановский (рц);17461;8245;9216;47,2;52,8
    Сельское население;22187;9985;12202;45;55
  Калачеевский район ;61794;28651;33143;46,4;53,6
    Городское население - г. Калач (рц);20950;9614;11336;45,9;54,1
    Сельское население;40844;19037;21807;46,6;53,4
      с. Заброды;9038;4260;4778;47,1;52,9
      п. Пригородный;4031;1874;2157;46,5;53,5
      прочие сельские населенные пункты;27775;12903;14872;46,5;53,5
  Каменский район ;21953;10100;11853;46;54
    Городское население - пгт Каменка (рц);9583;4386;5197;45,8;54,2
    Сельское население;12370;5714;6656;46,2;53,8
  Кантемировский район ;41808;19530;22278;46,7;53,3
    Городское население - пгт Кантемировка (рц);12949;5963;6986;46;54
    Сельское население;28859;13567;15292;47;53
      с. Митрофановка;5722;2665;3057;46,6;53,4
      прочие сельские населенные пункты;23137;10902;12235;47,1;52,9
  Каширский район - сельское население;27106;12467;14639;46;54
      с. Каширское (рц);4628;2150;2478;46,5;53,5
      п. Колодезный;5939;2725;3214;45,9;54,1
      прочие сельские населенные пункты;16539;7592;8947;45,9;54,1
  Лискинский район ;50142;23034;27108;45,9;54,1
    Городское население - пгт Давыдовка;5923;2730;3193;46,1;53,9
    Сельское население;44219;20304;23915;45,9;54,1
      с. Дракино;3114;1436;1678;46,1;53,9
      с. Средний Икорец;3319;1544;1775;46,5;53,5
      прочие сельские населенные пункты;37786;17324;20462;45,8;54,2
  Нижнедевицкий район - сельское население;24077;10888;13189;45,2;54,8
      с. Нижнедевицк (рц);6409;2957;3452;46,1;53,9
      прочие сельские населенные пункты;17668;7931;9737;44,9;55,1
  Новоусманский район - сельское население;64275;29567;34708;46;54
      с. Новая Усмань (рц);22476;10342;12134;46;54
      п. Воля;7979;3580;4399;44,9;55,1
      с. Орлово;4104;1888;2216;46;54
      с. Отрадное;3260;1565;1695;48;52
"      п. 1-го отделения совхоза ""Масловский""";3484;1650;1834;47,4;52,6
      прочие сельские населенные пункты;22972;10542;12430;45,9;54,1
  Новохоперский район ;45074;20541;24533;45,6;54,4
    Городское население;19584;8777;10807;44,8;55,2
      г. Новохоперск (рц);7640;3372;4268;44,1;55,9
      пгт Елань-Коленовский;4170;1925;2245;46,2;53,8
      пгт Новохоперский;7774;3480;4294;44,8;55,2
    Сельское население;25490;11764;13726;46,2;53,8
      с. Елань-Колено;5344;2438;2906;45,6;54,4
      прочие сельские населенные пункты;20146;9326;10820;46,3;53,7
  Ольховатский район ;25841;11825;14016;45,8;54,2
    Городское население - пгт Ольховатка (рц);4424;1945;2479;44;56
    Сельское население;21417;9880;11537;46,1;53,9
      п. Заболотовка;3354;1526;1828;45,5;54,5
      прочие сельские населенные пункты;18063;8354;9709;46,2;53,8
  Острогожский район - сельское население;27972;12570;15402;44,9;55,1
  Павловский район ;59355;27273;32082;45,9;54,1
    Городское население - г. Павловск (рц);26365;12189;14176;46,2;53,8
    Сельское население;32990;15084;17906;45,7;54,3
      с. Воронцовка;5138;2370;2768;46,1;53,9
      с. Лосево;4539;2055;2484;45,3;54,7
      прочие сельские населенные пункты;23313;10659;12654;45,7;54,3
  Панинский район ;33017;16139;16878;48,9;51,1
    Городское население;10567;4860;5707;46;54
      пгт Панино (рц);7264;3354;3910;46,2;53,8
      пгт Перелешинский;3303;1506;1797;45,6;54,4
    Сельское население;22450;11279;11171;50,2;49,8
      п. Перелешино;3848;2734;1114;71;29
      прочие сельские населенные пункты;18602;8545;10057;45,9;54,1
  Петропавловский район - сельское население;23414;10701;12713;45,7;54,3
      с. Петропавловка (рц);5546;2577;2969;46,5;53,5
      прочие сельские населенные пункты;17868;8124;9744;45,5;54,5
  Поворинский район - сельское население;17475;8100;9375;46,4;53,6
      с. Пески;7331;3387;3944;46,2;53,8
      прочие сельские населенные пункты;10144;4713;5431;46,5;53,5
  Подгоренский район ;29563;13592;15971;46;54
    Городское население - пгт Подгоренский (рц);6745;3051;3694;45,2;54,8
    Сельское население;22818;10541;12277;46,2;53,8
      сл. Подгорное;3880;1808;2072;46,6;53,4
      прочие сельские населенные пункты;18938;8733;10205;46,1;53,9
  Рамонский район ;33230;15771;17459;47,5;52,5
    Городское население - пгт Рамонь (рц);8039;3645;4394;45,3;54,7
    Сельское население;25191;12126;13065;48,1;51,9
  Репьевский район - сельское население;17884;8241;9643;46,1;53,9
      с. Репьевка (рц);5905;2769;3136;46,9;53,1
      прочие сельские населенные пункты;11979;5472;6507;45,7;54,3
  Россошанский район - сельское население;31750;14587;17163;45,9;54,1
  Семилукский район ;67904;31762;36142;46,8;53,2
