region;total_population;male_population;female_population;male_percent;female_percent
Регион;Популяция;Мужчины;Женщины;Мужчины_процент;Женщины_процент
прочие сельские населенные пункты;7772;3539;4233;45,5;54,5
Урицкий район;18666;9125;9541;48,9;51,1
Городское население - пгт Нарышкино (рц);9584;4867;4717;50,8;49,2
Сельское население;9082;4258;4824;46,9;53,1
Хотынецкий район;10183;4563;5620;44,8;55,2
Городское население - пгт Хотынец (рц);3866;1693;2173;43,8;56,2
Сельское население;6317;2870;3447;45,4;54,6
Шаблыкинский район;8045;3698;4347;46;54
Городское население - пгт Шаблыкино (рц);3414;1518;1896;44,5;55,5
Сельское население;4631;2180;2451;47,1;52,9
Рязанская область;1154114;524563;629551;45,5;54,5
Городское население;818349;369905;448444;45,2;54,8
Сельское население;335765;154658;181107;46,1;53,9
г. Рязань;524927;236784;288143;45,1;54,9
  внутригородские районы;;;;;
  Железнодорожный;139738;62590;77148;44,8;55,2
  Московский;178226;81578;96648;45,8;54,2
  Октябрьский;133907;60003;73904;44,8;55,2
  Советский;73056;32613;40443;44,6;55,4
г. Касимов;33491;14975;18516;44,7;55,3
г. Сасово;28118;12579;15539;44,7;55,3
г. Скопин с подчиненными его администрации населенными пунктами;31478;14819;16659;47,1;52,9
Городское население - г. Скопин;30376;14310;16066;47,1;52,9
Сельское население;1102;509;593;46,2;53,8
Ермишинский район;8879;4038;4841;45,5;54,5
Городское население - пгт Ермишь (рц);4345;1972;2373;45,4;54,6
Сельское население;4534;2066;2468;45,6;54,4
Захаровский район - сельское население;9136;4146;4990;45,4;54,6
село Захарово (рц);2739;1221;1518;44,6;55,4
прочие сельские населенные пункты;6397;2925;3472;45,7;54,3
Кадомский район;8494;3849;4645;45,3;54,7
Городское население - пгт Кадом (рц);5478;2477;3001;45,2;54,8
Сельское население;3016;1372;1644;45,5;54,5
Касимовский район;29602;13272;16330;44,8;55,2
Городское население;8932;3888;5044;43,5;56,5
пгт Гусь-Железный;2115;945;1170;44,7;55,3
пгт Елатьма;3511;1476;2035;42;58
пгт Лашма;1618;729;889;45,1;54,9
пгт Сынтул;1688;738;950;43,7;56,3
Сельское население;20670;9384;11286;45,4;54,6
Клепиковский район;25476;11572;13904;45,4;54,6
Городское население;12079;5422;6657;44,9;55,1
г. Спас-Клепики (рц);5916;2652;3264;44,8;55,2
пгт Тума;6163;2770;3393;44,9;55,1
Сельское население;13397;6150;7247;45,9;54,1
Кораблинский район;22941;10179;12762;44,4;55,6
Городское население - г. Кораблино (рц);12658;5520;7138;43,6;56,4
Сельское население;10283;4659;5624;45,3;54,7
Милославский район;13455;6884;6571;51,2;48,8
Городское население;6637;3754;2883;56,6;43,4
пгт Милославское (рц);4478;2051;2427;45,8;54,2
пгт Центральный;2159;1703;456;78,9;21,1
Сельское население;6818;3130;3688;45,9;54,1
Михайловский район;35223;15941;19282;45,3;54,7
Городское население;17851;7973;9878;44,7;55,3
г. Михайлов (рц);11784;5322;6462;45,2;54,8
пгт Октябрьский;6067;2651;3416;43,7;56,3
Сельское население;17372;7968;9404;45,9;54,1
Новодеревенский район;11818;5504;6314;46,6;53,4
Городское население - пгт Александро-Невский (рц);4013;1806;2207;45;55
Сельское население;7805;3698;4107;47,4;52,6
Пителинский район;5893;2782;3111;47,2;52,8
Городское население - пгт Пителино (рц);2257;1079;1178;47,8;52,2
Сельское население;3636;1703;1933;46,8;53,2
Пронский район;31393;14441;16952;46;54
Городское население;23252;10653;12599;45,8;54,2
пгт Пронск (рц);3943;1796;2147;45,5;54,5
г. Новомичуринск;19309;8857;10452;45,9;54,1
Сельское население;8141;3788;4353;46,5;53,5
Путятинский район - сельское население;7511;3427;4084;45,6;54,4
село Путятино (рц);3047;1377;1670;45,2;54,8
прочие сельские населенные пункты;4464;2050;2414;45,9;54,1
Рыбновский район;35585;16480;19105;46,3;53,7
Городское население - г. Рыбное (рц);18380;8501;9879;46,3;53,7
Сельское население;17205;7979;9226;46,4;53,6
Ряжский район;29026;13219;15807;45,5;54,5
Городское население - г. Ряжск (рц);21674;9808;11866;45,3;54,7
Сельское население;7352;3411;3941;46,4;53,6
Рязанский район - сельское население;56869;26691;30178;46,9;53,1
посёлок Мурмино;3506;1524;1982;43,5;56,5
село Поляны;6623;3103;3520;46,9;53,1
прочие сельские населенные пункты;46740;22064;24676;47,2;52,8
Сапожковский район;10901;4937;5964;45,3;54,7
Городское население - пгт Сапожок (рц);3878;1697;2181;43,8;56,2
Сельское население;7023;3240;3783;46,1;53,9
Сараевский район;17810;8065;9745;45,3;54,7
Городское население - пгт Сараи (рц);5802;2609;3193;45;55
Сельское население;12008;5456;6552;45,4;54,6
Сасовский район - сельское население;18504;8353;10151;45,1;54,9
Скопинский район;27080;12850;14230;47,5;52,5
Городское население;3419;1524;1895;44,6;55,4
пгт Павелец;1963;857;1106;43,7;56,3
пгт Побединка;1456;667;789;45,8;54,2
Сельское население;23661;11326;12335;47,9;52,1
Спасский район;30388;13537;16851;44,5;55,5
Городское население - г. Спасск-Рязанский (рц);7745;3414;4331;44,1;55,9
Сельское население;22643;10123;12520;44,7;55,3
село Ижевское;3340;1572;1768;47,1;52,9
прочие сельские населенные пункты;19303;8551;10752;44,3;55,7
Старожиловский район;17136;7807;9329;45,6;54,4
Городское население - пгт Старожилово (рц);5088;2316;2772;45,5;54,5
Сельское население;12048;5491;6557;45,6;54,4
Ухоловский район;9532;4349;5183;45,6;54,4
Городское население - пгт Ухолово (рц);4965;2237;2728;45,1;54,9
Сельское население;4567;2112;2455;46,2;53,8
Чучковский район;8700;4033;4667;46,4;53,6
Городское население - пгт Чучково (рц);3122;1344;1778;43;57
Сельское население;5578;2689;2889;48,2;51,8
Шацкий район;24414;10844;13570;44,4;55,6
Городское население - г. Шацк (рц);6561;2890;3671;44;56
Сельское население;17853;7954;9899;44,6;55,4
Шиловский район;40334;18206;22128;45,1;54,9
Городское население;23301;10373;12928;44,5;55,5
пгт Шилово (рц);15669;7032;8637;44,9;55,1
пгт Лесной;7632;3341;4291;43,8;56,2
Сельское население;17033;7833;9200;46;54
Смоленская область;985537;448385;537152;45,5;54,5
Городское население;716299;321504;394795;44,9;55,1
Сельское население;269238;126881;142357;47,1;52,9
г. Смоленск;326861;144824;182037;44,3;55,7
  внутригородские районы;;;;;
  Заднепровский;91420;41779;49641;45,7;54,3
  Ленинский;105323;46051;59272;43,7;56,3
  Промышленный;130118;56994;73124;43,8;56,2
г. Десногорск с подчиненными его администрации населенными пунктами;29716;13879;15837;46,7;53,3
Городское население - г. Десногорск;29677;13859;15818;46,7;53,3
Сельское население;39;20;19;51,3;48,7
Велижский район;12248;5577;6671;45,5;54,5
Городское население - г. Велиж (рц);7620;3418;4202;44,9;55,1
Сельское население;4628;2159;2469;46,7;53,3
Вяземский район;80436;36842;43594;45,8;54,2
Городское население - г. Вязьма (рц);57101;25782;31319;45,2;54,8
Сельское население;23335;11060;12275;47,4;52,6
село Вязьма-Брянская;4594;2340;2254;50,9;49,1
прочие сельские населенные пункты;18741;8720;10021;46,5;53,5
Гагаринский район;48928;22870;26058;46,7;53,3
Городское население - г. Гагарин (рц);31721;14873;16848;46,9;53,1
Сельское население;17207;7997;9210;46,5;53,5
Глинковский район - сельское население;4948;2263;2685;45,7;54,3
село Глинка (рц);1942;866;1076;44,6;55,4
прочие сельские населенные пункты;3006;1397;1609;46,5;53,5
Демидовский район;14039;6262;7777;44,6;55,4
Городское население;9016;3952;5064;43,8;56,2
г. Демидов (рц);7333;3223;4110;44;56
пгт Пржевальское кп;1683;729;954;43,3;56,7
Сельское население;5023;2310;2713;46;54
Дорогобужский район;29077;13144;15933;45,2;54,8
Городское население;23689;10562;13127;44,6;55,4
г. Дорогобуж (рц);10720;4885;5835;45,6;54,4
пгт Верхнеднепровский;12969;5677;7292;43,8;56,2
Сельское население;5388;2582;2806;47,9;52,1
Духовщинский район;16658;7782;8876;46,7;53,3
Городское население;10304;4690;5614;45,5;54,5
г. Духовщина (рц);4371;1978;2393;45,3;54,7
пгт Озерный;5933;2712;3221;45,7;54,3
Сельское население;6354;3092;3262;48,7;51,3
Ельнинский район;14948;7124;7824;47,7;52,3
Городское население - г. Ельня (рц);10095;4798;5297;47,5;52,5
Сельское население;4853;2326;2527;47,9;52,1
Ершичский район - сельское население;7102;3236;3866;45,6;54,4
село Ершичи (рц);3169;1447;1722;45,7;54,3
прочие сельские населенные пункты;3933;1789;2144;45,5;54,5
Кардымовский район;11852;5533;6319;46,7;53,3
Городское население - пгт Кардымово (рц);4659;2137;2522;45,9;54,1
Сельское население;7193;3396;3797;47,2;52,8
Краснинский район;12895;5791;7104;44,9;55,1
Городское население - пгт Красный (рц);4349;1954;2395;44,9;55,1
Сельское население;8546;3837;4709;44,9;55,1
Монастырщинский район;10788;4830;5958;44,8;55,2
Городское население - пгт Монастырщина (рц);4065;1772;2293;43,6;56,4
Сельское население;6723;3058;3665;45,5;54,5
Новодугинский район - сельское население;10477;4891;5586;46,7;53,3
село Новодугино (рц);3839;1771;2068;46,1;53,9
прочие сельские населенные пункты;6638;3120;3518;47;53
Починковский район;30959;13910;17049;44,9;55,1
Городское население - г. Починок (рц);8776;3796;4980;43,3;56,7
Сельское население;22183;10114;12069;45,6;54,4
деревня Шаталово;3008;1507;1501;50,1;49,9
прочие сельские населенные пункты;19175;8607;10568;44,9;55,1
Рославльский район;76100;35225;40875;46,3;53,7
Городское население - г. Рославль (рц);54900;25194;29706;45,9;54,1
Сельское население;21200;10031;11169;47,3;52,7
Руднянский район;25244;11360;13884;45;55
Городское население;13603;5917;7686;43,5;56,5
г. Рудня (рц);10030;4387;5643;43,7;56,3
пгт Голынки;3573;1530;2043;42,8;57,2
Сельское население;11641;5443;6198;46,8;53,2
Сафоновский район;61572;29505;32067;47,9;52,1
Городское население;47770;21634;26136;45,3;54,7
г. Сафоново (рц);46116;20918;25198;45,4;54,6
пгт Издешково;1654;716;938;43,3;56,7
Сельское население;13802;7871;5931;57;43
Смоленский район - сельское население;44964;20955;24009;46,6;53,4
село Печерск;3884;1760;2124;45,3;54,7
прочие сельские населенные пункты;41080;19195;21885;46,7;53,3
Сычевский район;14158;6952;7206;49,1;50,9
Городское население - г. Сычевка (рц);8111;4049;4062;49,9;50,1
Сельское население;6047;2903;3144;48;52
Темкинский район - сельское население;6348;2974;3374;46,8;53,2
село Темкино (рц);2414;1113;1301;46,1;53,9
прочие сельские населенные пункты;3934;1861;2073;47,3;52,7
Угранский район;8916;4023;4893;45,1;54,9
Городское население - пгт Угра (рц);4278;1901;2377;44,4;55,6
Сельское население;4638;2122;2516;45,8;54,2
Хиславичский район;9070;4098;4972;45,2;54,8
Городское население - пгт Хиславичи (рц);4138;1850;2288;44,7;55,3
Сельское население;4932;2248;2684;45,6;54,4
Холм-Жирковский район;10717;4892;5825;45,6;54,4
Городское население - пгт Холм-Жирковский (рц);3491;1581;1910;45,3;54,7
Сельское население;7226;3311;3915;45,8;54,2
Шумячский район;10713;4844;5869;45,2;54,8
Городское население - пгт Шумячи (рц);4227;1870;2357;44,2;55,8
Сельское население;6486;2974;3512;45,9;54,1
Ярцевский район;55803;24799;31004;44,4;55,6
Городское население - г. Ярцево (рц);47848;21091;26757;44,1;55,9
Сельское население;7955;3708;4247;46,6;53,4
Тамбовская область;1091994;500455;591539;45,8;54,2
Городское население;640814;287790;353024;44,9;55,1
Сельское население;451180;212665;238515;47,1;52,9
г. Тамбов;280161;125020;155141;44,6;55,4
  внутригородские районы;;;;;
  Ленинский;38347;16521;21826;43,1;56,9
  Октябрьский;152963;68297;84666;44,6;55,4
  Советский;88851;40202;48649;45,2;54,8
г. Кирсанов;17224;8023;9201;46,6;53,4
г. Котовск;31850;14075;17775;44,2;55,8
г. Мичуринск;98758;44203;54555;44,8;55,2
г. Моршанск;41556;19022;22534;45,8;54,2
г. Рассказово;45484;20488;24996;45;55
г. Уварово;26830;12013;14817;44,8;55,2
