region;total_population;male_population;female_population;male_percent;female_percent
Регион;Популяция;Мужчины;Женщины;Мужчины_процент;Женщины_процент
село Михайловское (рц);11020;5136;5884;46,6;53,4
прочие сельские населенные пункты;6605;3094;3511;46,8;53,2
Немецкий Национальный район - сельское население;17668;8487;9181;48;52
село Гальбштадт (рц);1756;826;930;47;53
прочие сельские населенные пункты;15912;7661;8251;48,1;51,9
Новичихинский район - сельское население;9938;4694;5244;47,2;52,8
село Новичиха (рц);4284;2004;2280;46,8;53,2
прочие сельские населенные пункты;5654;2690;2964;47,6;52,4
Павловский район - сельское население;40235;18831;21404;46,8;53,2
село Павловск (рц);14533;6722;7811;46,3;53,7
посёлок Новые Зори;3269;1502;1767;45,9;54,1
село Черёмное;4454;2055;2399;46,1;53,9
прочие сельские населенные пункты;17979;8552;9427;47,6;52,4
Панкрушихинский район - сельское население;13364;6225;7139;46,6;53,4
село Панкрушиха (рц);4916;2253;2663;45,8;54,2
прочие сельские населенные пункты;8448;3972;4476;47;53
Первомайский район - сельское население;50100;23635;26465;47,2;52,8
село Берёзовка;4588;2146;2442;46,8;53,2
село Бобровка;3079;1439;1640;46,7;53,3
село Боровиха;7037;3283;3754;46,7;53,3
село Зудилово;4025;1935;2090;48,1;51,9
село Первомайское;4796;2196;2600;45,8;54,2
село Повалиха;3025;1447;1578;47,8;52,2
прочие сельские населенные пункты;23550;11189;12361;47,5;52,5
Петропавловский район - сельское население;12450;5827;6623;46,8;53,2
село Петропавловское (рц);2642;1168;1474;44,2;55,8
прочие сельские населенные пункты;9808;4659;5149;47,5;52,5
Поспелихинский район - сельское население;24788;11493;13295;46,4;53,6
село Поспелиха (рц);12496;5677;6819;45,4;54,6
прочие сельские населенные пункты;12292;5816;6476;47,3;52,7
Ребрихинский район - сельское население;24559;11611;12948;47,3;52,7
село Ребриха (рц);8468;3943;4525;46,6;53,4
прочие сельские населенные пункты;16091;7668;8423;47,7;52,3
Родинский район - сельское население;20719;9635;11084;46,5;53,5
село Родино (рц);8597;3866;4731;45;55
прочие сельские населенные пункты;12122;5769;6353;47,6;52,4
Романовский район - сельское население;13179;6188;6991;47;53
село Романово (рц);5624;2624;3000;46,7;53,3
прочие сельские населенные пункты;7555;3564;3991;47,2;52,8
Рубцовский район - сельское население;24556;11715;12841;47,7;52,3
село Веселоярск;4799;2236;2563;46,6;53,4
прочие сельские населенные пункты;19757;9479;10278;48;52
Славгородский район - сельское население;10154;4814;5340;47,4;52,6
село Славгородское;3524;1661;1863;47,1;52,9
прочие сельские населенные пункты;6630;3153;3477;47,6;52,4
Смоленский район - сельское население;23955;11217;12738;46,8;53,2
село Смоленское (рц);8985;4130;4855;46;54
прочие сельские населенные пункты;14970;7087;7883;47,3;52,7
Советский район - сельское население;16467;7754;8713;47,1;52,9
село Советское (рц);5233;2429;2804;46,4;53,6
прочие сельские населенные пункты;11234;5325;5909;47,4;52,6
Солонешенский район - сельское население;10720;5174;5546;48,3;51,7
село Солонешное (рц);4441;2086;2355;47;53
прочие сельские населенные пункты;6279;3088;3191;49,2;50,8
Солтонский район - сельское население;8610;4109;4501;47,7;52,3
село Солтон (рц);2770;1250;1520;45,1;54,9
прочие сельские населенные пункты;5840;2859;2981;49;51
