region;total_population_2020;male_population_0;male_percent_0;total_population_2010;male_population_1;male_percent_1;total_population_2002;male_population_2;male_percent_2
Регион;Популяция_2020;Мужчины_0;Мужчины_процент_0;Популяция_2010;Мужчины_1;Мужчины_процент_1;Популяция_2002;Мужчины_2;Мужчины_процент_2
скляевское поселение;681.0;308.0;45.2;;;;;;
село бабяково;3311.0;1612.0;48.7;;;;;;
лисичанское поселение;776.0;371.0;47.8;;;;;;
верхнемамонский район;18611.0;8758.0;47.1;21659.0;10181.0;47.0;23086.0;10665.0;46.2
село репьевка;5401.0;2425.0;44.9;5332.0;2438.0;45.7;5905.0;2769.0;46.9
поселок колодезный;5253.0;2371.0;45.1;5736.0;2608.0;45.5;5939.0;2725.0;45.9
кривоносовское поселение;837.0;382.0;45.6;;;;;;
парижскокоммунское поселение;1408.0;650.0;46.2;;;;;;
городское поселение город новохоперск;16498.0;7353.0;44.6;6849.0;3026.0;44.2;7640.0;3372.0;44.1
село заброды;8626.0;3995.0;46.3;9222.0;4364.0;47.3;9038.0;4260.0;47.1
морозовское поселение;1864.0;889.0;47.7;;;;;;
новокалитвенское поселение;2500.0;1177.0;47.1;;;;;;
воробьевка;3662.0;1618.0;44.2;4103.0;1842.0;44.9;4482.0;2046.0;45.6
нижний кисляй рабочий поселок;3156.0;1458.0;46.2;3967.0;1813.0;45.7;4456.0;2036.0;45.7
монастырщинское поселение;1182.0;601.0;50.8;;;;;;
поселок 1го отделения совхоза;3827.0;1810.0;47.3;3742.0;1779.0;47.5;3484.0;1650.0;47.4
городское поселение город эртиль;11363.0;5136.0;45.2;11387.0;5218.0;45.8;12885.0;5993.0;46.5
веретьевское поселение;1175.0;539.0;45.9;;;;;;
нижнедевицк;17938.0;8406.0;46.9;20611.0;9453.0;45.9;6409.0;2957.0;46.1
таловское поселение;1460.0;732.0;50.1;;;;;;
подгорное;3483.0;1671.0;48.0;9285.0;4249.0;45.8;7789.0;3567.0;45.8
железнодорожный;;;;106751.0;48523.0;45.5;96846.0;44226.0;45.7
верхний мамон;7505.0;3346.0;44.6;8561.0;4026.0;47.0;8394.0;3919.0;46.7
бобровский район;49371.0;23088.0;46.8;49494.0;22243.0;44.9;54162.0;24396.0;45.0
никольское 1е поселение;2410.0;1114.0;46.2;;;;5383.0;2523.0;46.9
витебское поселение;488.0;237.0;48.6;;;;;;
пыховское поселение;1078.0;512.0;47.5;;;;;;
репьевка;5401.0;2425.0;44.9;5332.0;2438.0;45.7;5905.0;2769.0;46.9
стрелицкое городское поселение;4432.0;2015.0;45.5;;;;;;
хохольский рабочий поселок;7954.0;3582.0;45.0;7510.0;3412.0;45.4;7885.0;3579.0;45.4
ольховатское поселение;761.0;360.0;47.3;;;;;;
калачеевский район;47566.0;22218.0;46.7;57242.0;26530.0;46.3;61794.0;28651.0;46.4
центральское поселение;705.0;336.0;47.7;;;;;;
новохоперск;5948.0;2638.0;44.4;6849.0;3026.0;44.2;7640.0;3372.0;44.1
скорорыбское поселение;813.0;394.0;48.5;;;;;;
таловая;11136.0;4936.0;44.3;12219.0;5494.0;45.0;13554.0;6247.0;46.1
костиноотдельское поселение;1169.0;569.0;48.7;;;;;;
хрещатовское поселение;1335.0;617.0;46.2;;;;;;
байчуровское поселение;1761.0;815.0;46.3;;;;;;
еланьколено;3274.0;1495.0;45.7;3916.0;1775.0;45.3;5344.0;2438.0;45.6
колодезянское поселение;6193.0;2823.0;45.6;;;;;;
правохавское поселение;511.0;248.0;48.5;;;;;;
лиски;54147.0;24790.0;45.8;55864.0;25211.0;45.1;56229.0;25603.0;45.5
рабочий поселок панино;5995.0;2691.0;44.9;6672.0;2985.0;44.7;7264.0;3354.0;46.2
кантемировский район;32091.0;15216.0;47.4;38081.0;17721.0;46.5;41808.0;19530.0;46.7
копенкинское поселение;1009.0;489.0;48.5;;;;;;
вихляевское поселение;460.0;229.0;49.8;;;;;;
гончаровское поселение;692.0;338.0;48.8;;;;;;
